atom_id,atom_name,review_priority,risk_tier,risk_score,overall_verdict,semantic_status,review_status,has_completed_review,trust_readiness,review_batch_reason,recommended_review_action,trust_blockers
ageoa.biosppy.online_filter.filterstep@ageoa/biosppy/online_filter/atoms.py:54,ageoa.biosppy.online_filter.filterstep,review_now,high,69,acceptable_with_limits,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.numpy.linalg.det@ageoa/numpy/linalg.py:69,ageoa.numpy.linalg.det,review_now,high,68,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.integrate.solve_ivp@ageoa/scipy/integrate.py:80,ageoa.scipy.integrate.solve_ivp,review_now,high,68,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.biosppy.online_filter_codex.filterstateinit@ageoa/biosppy/online_filter_codex/atoms.py:24,ageoa.biosppy.online_filter_codex.filterstateinit,review_now,high,67,acceptable_with_limits,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.biosppy.online_filter_v2.filterstateinit@ageoa/biosppy/online_filter_v2/atoms.py:24,ageoa.biosppy.online_filter_v2.filterstateinit,review_now,high,67,acceptable_with_limits,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.pasqal.docking.graph_transformer@ageoa/pasqal/docking.py:58,ageoa.pasqal.docking.graph_transformer,review_now,high,64,misleading,fail,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.pasqal.docking.quantum_mwis_solver@ageoa/pasqal/docking.py:107,ageoa.pasqal.docking.quantum_mwis_solver,review_now,high,64,misleading,partial,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.biosppy.online_filter_codex.filterstep@ageoa/biosppy/online_filter_codex/atoms.py:54,ageoa.biosppy.online_filter_codex.filterstep,review_now,high,64,acceptable_with_limits,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.biosppy.online_filter_v2.filterstep@ageoa/biosppy/online_filter_v2/atoms.py:54,ageoa.biosppy.online_filter_v2.filterstep,review_now,high,64,acceptable_with_limits,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.pasqal.docking.sub_graph_embedder@ageoa/pasqal/docking.py:27,ageoa.pasqal.docking.sub_graph_embedder,review_now,high,64,acceptable_with_limits,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.numpy.emath.logn@ageoa/numpy/emath.py:84,ageoa.numpy.emath.logn,review_now,high,63,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.numpy.polynomial.polyval@ageoa/numpy/polynomial.py:24,ageoa.numpy.polynomial.polyval,review_now,high,63,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.optimize.curve_fit@ageoa/scipy/optimize.py:167,ageoa.scipy.optimize.curve_fit,review_now,high,63,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.stats.describe@ageoa/scipy/stats.py:23,ageoa.scipy.stats.describe,review_now,high,63,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.stats.norm@ageoa/scipy/stats.py:149,ageoa.scipy.stats.norm,review_now,high,63,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.stats.pearsonr@ageoa/scipy/stats.py:100,ageoa.scipy.stats.pearsonr,review_now,high,63,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.stats.spearmanr@ageoa/scipy/stats.py:117,ageoa.scipy.stats.spearmanr,review_now,high,63,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.stats.ttest_ind@ageoa/scipy/stats.py:60,ageoa.scipy.stats.ttest_ind,review_now,high,63,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.pulsar.pipeline.SNR@ageoa/pulsar/pipeline.py:113,ageoa.pulsar.pipeline.SNR,review_now,high,63,misleading,fail,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.pulsar.pipeline.fold_signal@ageoa/pulsar/pipeline.py:84,ageoa.pulsar.pipeline.fold_signal,review_now,high,63,misleading,fail,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.pulsar.pipeline.de_disperse@ageoa/pulsar/pipeline.py:44,ageoa.pulsar.pipeline.de_disperse,review_now,high,63,acceptable_with_limits,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.pulsar.pipeline.delay_from_DM@ageoa/pulsar/pipeline.py:24,ageoa.pulsar.pipeline.delay_from_DM,review_now,high,63,acceptable_with_limits,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.algorithms.sorting.counting_sort@ageoa/algorithms/sorting.py:109,ageoa.algorithms.sorting.counting_sort,review_now,high,62,broken,fail,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.algorithms.sorting.heapsort@ageoa/algorithms/sorting.py:73,ageoa.algorithms.sorting.heapsort,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.algorithms.sorting.merge_sort@ageoa/algorithms/sorting.py:29,ageoa.algorithms.sorting.merge_sort,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.algorithms.sorting.quicksort@ageoa/algorithms/sorting.py:51,ageoa.algorithms.sorting.quicksort,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.algorithms.sorting.radix_sort@ageoa/algorithms/sorting.py:146,ageoa.algorithms.sorting.radix_sort,review_now,high,62,broken,fail,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.numpy.emath.log10@ageoa/numpy/emath.py:63,ageoa.numpy.emath.log10,review_now,high,62,broken,partial,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.numpy.emath.log@ageoa/numpy/emath.py:43,ageoa.numpy.emath.log,review_now,high,62,broken,partial,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.numpy.emath.power@ageoa/numpy/emath.py:104,ageoa.numpy.emath.power,review_now,high,62,broken,partial,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.numpy.emath.sqrt@ageoa/numpy/emath.py:24,ageoa.numpy.emath.sqrt,review_now,high,62,broken,partial,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.numpy.linalg.inv@ageoa/numpy/linalg.py:50,ageoa.numpy.linalg.inv,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.numpy.linalg.norm@ageoa/numpy/linalg.py:84,ageoa.numpy.linalg.norm,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.numpy.linalg.solve@ageoa/numpy/linalg.py:30,ageoa.numpy.linalg.solve,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.integrate.quad@ageoa/scipy/integrate.py:19,ageoa.scipy.integrate.quad,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.integrate.simpson@ageoa/scipy/integrate.py:126,ageoa.scipy.integrate.simpson,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.signal.butter@ageoa/scipy/signal.py:57,ageoa.scipy.signal.butter,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.signal.cheby1@ageoa/scipy/signal.py:98,ageoa.scipy.signal.cheby1,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.signal.cheby2@ageoa/scipy/signal.py:139,ageoa.scipy.signal.cheby2,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.signal.firwin@ageoa/scipy/signal.py:177,ageoa.scipy.signal.firwin,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.signal.freqz@ageoa/scipy/signal.py:298,ageoa.scipy.signal.freqz,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.signal.lfilter@ageoa/scipy/signal.py:254,ageoa.scipy.signal.lfilter,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.scipy.signal.sosfilt@ageoa/scipy/signal.py:220,ageoa.scipy.signal.sosfilt,review_now,high,62,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.molecular_docking.minimize_bandwidth.propose_greedy_permutation_step@ageoa/molecular_docking/minimize_bandwidth/atoms.py:158,ageoa.molecular_docking.minimize_bandwidth.propose_greedy_permutation_step,review_now,high,62,misleading,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
ageoa.numpy.random.default_rng@ageoa/numpy/random.py:112,ageoa.numpy.random.default_rng,review_now,high,61,broken,unknown,missing,False,not_reviewed,REVIEW_HIGH_RISK_UNREVIEWED,start a structured review immediately,TRUST_BLOCK_REVIEW_MISSING
