atom_id,atom_name,domain_family,risk_score,risk_tier,review_priority,risk_reasons,structural_status,semantic_status,max_reviewable_verdict
ageoa.sklearn.calibration_iter7.fit_calibrated_model_and_derive_metadata_contracts@ageoa/sklearn/calibration_iter7/atoms.py:66,ageoa.sklearn.calibration_iter7.fit_calibrated_model_and_derive_metadata_contracts,sklearn,78,high,review_now,RISK_CDG_ISSUES;RISK_MISSING_PARITY;RISK_MISSING_PROVENANCE;RISK_MISSING_REVIEW_BASIS;RISK_PLACEHOLDER_DOCSTRING;RISK_PROCEDURAL_WRAPPER;RISK_REFINED_INGEST;RISK_SKLEARN_GENERATED_FAMILY;RISK_STATEFUL_API;RISK_STATE_MODEL_PRESENT;RISK_STRUCTURAL_PARTIAL;RISK_UPSTREAM_UNMAPPED;RISK_WEAK_TYPES,partial,partial,misleading
ageoa.sklearn.calibration_iter7.infer_calibrated_probabilities_and_class_labels@ageoa/sklearn/calibration_iter7/atoms.py:107,ageoa.sklearn.calibration_iter7.infer_calibrated_probabilities_and_class_labels,sklearn,78,high,review_now,RISK_CDG_ISSUES;RISK_MISSING_PARITY;RISK_MISSING_PROVENANCE;RISK_MISSING_REVIEW_BASIS;RISK_PLACEHOLDER_DOCSTRING;RISK_PROCEDURAL_WRAPPER;RISK_REFINED_INGEST;RISK_SKLEARN_GENERATED_FAMILY;RISK_STATEFUL_API;RISK_STATE_MODEL_PRESENT;RISK_STRUCTURAL_PARTIAL;RISK_UPSTREAM_UNMAPPED;RISK_WEAK_TYPES,partial,partial,misleading
ageoa.sklearn.calibration_iter7.initialize_calibration_configuration@ageoa/sklearn/calibration_iter7/atoms.py:30,ageoa.sklearn.calibration_iter7.initialize_calibration_configuration,sklearn,78,high,review_now,RISK_CDG_ISSUES;RISK_MISSING_PARITY;RISK_MISSING_PROVENANCE;RISK_MISSING_REVIEW_BASIS;RISK_PLACEHOLDER_DOCSTRING;RISK_PROCEDURAL_WRAPPER;RISK_REFINED_INGEST;RISK_SKLEARN_GENERATED_FAMILY;RISK_STATEFUL_API;RISK_STATE_MODEL_PRESENT;RISK_STRUCTURAL_PARTIAL;RISK_UPSTREAM_UNMAPPED;RISK_WEAK_TYPES,partial,partial,misleading
ageoa.sklearn.calibration_iter8.fit_calibrated_ensemble_and_expose_metadata@ageoa/sklearn/calibration_iter8/atoms.py:66,ageoa.sklearn.calibration_iter8.fit_calibrated_ensemble_and_expose_metadata,sklearn,78,high,review_now,RISK_CDG_ISSUES;RISK_MISSING_PARITY;RISK_MISSING_PROVENANCE;RISK_MISSING_REVIEW_BASIS;RISK_PLACEHOLDER_DOCSTRING;RISK_PROCEDURAL_WRAPPER;RISK_REFINED_INGEST;RISK_SKLEARN_GENERATED_FAMILY;RISK_STATEFUL_API;RISK_STATE_MODEL_PRESENT;RISK_STRUCTURAL_PARTIAL;RISK_UPSTREAM_UNMAPPED;RISK_WEAK_TYPES,partial,partial,misleading
ageoa.sklearn.calibration_iter8.initialize_calibration_state@ageoa/sklearn/calibration_iter8/atoms.py:30,ageoa.sklearn.calibration_iter8.initialize_calibration_state,sklearn,78,high,review_now,RISK_CDG_ISSUES;RISK_MISSING_PARITY;RISK_MISSING_PROVENANCE;RISK_MISSING_REVIEW_BASIS;RISK_PLACEHOLDER_DOCSTRING;RISK_PROCEDURAL_WRAPPER;RISK_REFINED_INGEST;RISK_SKLEARN_GENERATED_FAMILY;RISK_STATEFUL_API;RISK_STATE_MODEL_PRESENT;RISK_STRUCTURAL_PARTIAL;RISK_UPSTREAM_UNMAPPED;RISK_WEAK_TYPES,partial,partial,misleading
ageoa.sklearn.calibration_iter8.run_calibrated_inference@ageoa/sklearn/calibration_iter8/atoms.py:107,ageoa.sklearn.calibration_iter8.run_calibrated_inference,sklearn,78,high,review_now,RISK_CDG_ISSUES;RISK_MISSING_PARITY;RISK_MISSING_PROVENANCE;RISK_MISSING_REVIEW_BASIS;RISK_PLACEHOLDER_DOCSTRING;RISK_PROCEDURAL_WRAPPER;RISK_REFINED_INGEST;RISK_SKLEARN_GENERATED_FAMILY;RISK_STATEFUL_API;RISK_STATE_MODEL_PRESENT;RISK_STRUCTURAL_PARTIAL;RISK_UPSTREAM_UNMAPPED;RISK_WEAK_TYPES,partial,partial,misleading
ageoa.biosppy.online_filter.filterstateinit@ageoa/biosppy/online_filter/atoms.py:24,ageoa.biosppy.online_filter.filterstateinit,biosppy,74,high,review_now,RISK_CDG_ISSUES;RISK_GENERATED_ABSTRACTION_LANGUAGE;RISK_GENERATED_INGEST;RISK_MISSING_PARITY;RISK_MISSING_PROVENANCE;RISK_MISSING_REVIEW_BASIS;RISK_PLACEHOLDER_DOCSTRING;RISK_PROCEDURAL_WRAPPER;RISK_STATEFUL_API;RISK_STATE_MODEL_PRESENT;RISK_STRUCTURAL_PARTIAL;RISK_UPSTREAM_UNMAPPED,partial,unknown,acceptable_with_limits
ageoa.institutional_quant_engine.kalman_filter.kalmanfilterinit@ageoa/institutional_quant_engine/kalman_filter/atoms.py:28,ageoa.institutional_quant_engine.kalman_filter.kalmanfilterinit,institutional_quant_engine,74,high,review_now,RISK_CDG_ISSUES;RISK_GENERATED_ABSTRACTION_LANGUAGE;RISK_GENERATED_INGEST;RISK_MISSING_PARITY;RISK_MISSING_PROVENANCE;RISK_MISSING_REVIEW_BASIS;RISK_PLACEHOLDER_DOCSTRING;RISK_PROCEDURAL_WRAPPER;RISK_STATEFUL_API;RISK_STATE_MODEL_PRESENT;RISK_STRUCTURAL_PARTIAL;RISK_UPSTREAM_UNMAPPED,partial,unknown,acceptable_with_limits
ageoa.institutional_quant_engine.kalman_filter.kalmanmeasurementupdate@ageoa/institutional_quant_engine/kalman_filter/atoms.py:65,ageoa.institutional_quant_engine.kalman_filter.kalmanmeasurementupdate,institutional_quant_engine,74,high,review_now,RISK_CDG_ISSUES;RISK_GENERATED_ABSTRACTION_LANGUAGE;RISK_GENERATED_INGEST;RISK_MISSING_PARITY;RISK_MISSING_PROVENANCE;RISK_MISSING_REVIEW_BASIS;RISK_PLACEHOLDER_DOCSTRING;RISK_PROCEDURAL_WRAPPER;RISK_STATEFUL_API;RISK_STATE_MODEL_PRESENT;RISK_STRUCTURAL_PARTIAL;RISK_UPSTREAM_UNMAPPED,partial,unknown,acceptable_with_limits
ageoa.biosppy.online_filter.filterstep@ageoa/biosppy/online_filter/atoms.py:54,ageoa.biosppy.online_filter.filterstep,biosppy,69,high,review_now,RISK_CDG_ISSUES;RISK_GENERATED_INGEST;RISK_MISSING_PARITY;RISK_MISSING_PROVENANCE;RISK_MISSING_REVIEW_BASIS;RISK_PROCEDURAL_WRAPPER;RISK_STATEFUL_API;RISK_STATE_MODEL_PRESENT;RISK_STRUCTURAL_PARTIAL;RISK_UPSTREAM_UNMAPPED,partial,unknown,acceptable_with_limits
